country_code_iso2,region,locode,port_name,latitude,longitude,facade,fao_areas,is_active
BR,,BRNSE,Nova Soure,-11.2333333333333,-38.4833333333333,,{41.1.3},False
GB,,GBWWM,White Waltham,51.48333333,-0.766666667,,{27.7.d},False
SE,,SENDA,Sanda,56.12,15.655,,{27.3.d.25},False
EE,,EETRA,Trammi Lauter,58.84777778,23.49722222,,{27.3.d.29},False
GR,,GRNSK,Nea Skioni,39.952,23.507,,{37.3.1},False
IN,,INJIN,Jind,29.31666667,76.31666667,,{51.4},False
GR,,GRVLY,Vlychos Lefkadas,38.685,20.698,,{37.2.2},False
UA,,UAYUZ,Pivdennyi,46.6,31.01666667,,{37.4.2},False
EE,,EEMNV,Mõntu Väikelaevade Sadam,57.95,22.11666667,,"{27.3.d.28.1,27.3.d.28.2}",False
GB,,GBASC,Ascot,51.4,-0.666666667,,{27.7.d},False
BR,,BRALC,Alcobaça,-17.5166666666667,-39.1833333333333,,{41.1.3},False
IT,,ITMSN,Messina,38.183333,15.566667,,{37.1.3},False
DE,,DEKLN,Kirchlinteln,52.95,9.316666667,,{27.4.b},False
GB,,GBBME,Bermondsey/London,51.5,-0.066666667,,{27.4.c},False
GB,,GBDQF,Dukinfield,53.48333333,-2.083333333,,{27.7.a},False
PT,,PTCOV,Covilhã,40.28333333,-7.5,,{27.9.a},False
DE,,DEWAV,Wackerballig,54.756,9.878,,"{27.3.c.22,27.3.b, c}",False
SE,,SENOS,Onsala,57.417,12.017,,"{27.3.a.21,27.3.a.20}",False
BO,,BOINQ,Inquisivi,-16.9166666666667,-67.15,,{87.1.15},False
GR,,GRKLR,Kalirachi Thasou,40.693,24.523,,{37.3.1},False
BR,,BRPWB,Pau Brasil,-15.45,-39.6333333333333,,{41.1.3},False
GB,,GBLOW,Lowestoft,52.48333333,1.75,,{27.4.c},False
SE,,SEKLS,St Källskär,58.052467,16.819867,,{27.3.d.27},False
NO,,NOSTA,Stathelle,59.03333333,9.7,,{27.3.a.20},False
IE,,IEDFT,Dublin-Dublin Ferryport Terminals,53.31666667,-6.233333333,,{27.7.a},False
DE,,DEHMU,Hannoversch Münden,51.41666667,9.683333333,,"{27.4.b,27.4.c}",False
CN,,CNSHH,Shishi,24.73333333,118.6333333,,{61},False
CN,,CNXZI,Xiangzhi,24.76666667,118.7666667,,{61},False
IT,,ITURC,Scauri Alto,36.76666667,11.96666667,,{37.2.2},False
ES,,ESETY,S'Estanyol De Migjorn,39.37399911,2.91899946,,{37.1.1},False
SA,,SAAKH,Al Kharj,24.13333333,47.3,,{51.1},False
EE,,EEKVR,Kavaru,58.26972222,24.19333333,,{27.3.d.28.1},False
BR,,BRAWI,Aguiar,-7.08333333333333,-38.1666666666667,,{41.1.2},False
EE,,EEROU,Ranna-Õue,59.64972222,25.75055556,,{27.3.d.32},False
PF,,PFPKP,Pukapuka,-14.81666667,-138.8,,{77},False
TZ,,TZKIT,Kitagata,-4.3,30.4833333333333,,{51.5},False
BR,,BRITI,Itabira,-19.63333333,-43.21666667,,{41.1.3},False
SE,,SESBA,Själbottna,59.561667,18.790833,,{27.3.d.27},False
BR,,BRYTJ,Itajá,-5.63333333333333,-36.8666666666667,,{41.1.2},False
HR,,HRPAZ,Pazin ,45.14,13.56,,{37.2.1},False
DK,,DKSAV,Saltbæk Vig,55.723243,11.182709,,"{27.3.c.22,27.3.b, c}",False
GR,,GRMAY,Mavrolimni Korinthias,38.066,23.12,,"{37.3.1,37.2.2}",False
EE,,EETEH,Tehumardi,58.17027778,22.25472222,,"{27.3.d.28.1,27.3.d.28.2}",False
DE,,DE65G,Hohwacht,54.318,10.68,,"{27.3.c.22,27.3.b, c}",False
BR,,BRLTT,Lagoa Dos Três Cantos,-28.5666666666667,-52.85,,{41.2.1},False
BR,,BRTLC,Tenente Laurentino Cruz,-6.13333333333333,-36.7166666666667,,{41.1.2},False
SE,,SESLS,Skälsö,57.693333,18.358333,,{27.3.d.27},False
DE,,DEBEI,Beidenfleth,53.87666667,9.418333333,,{27.4.b},False
HR,,HRLPD,Lopud,42.68333333,17.95,,{37.2.1},False
JP,,JPZKU,"Izumi, Osaka",34.48333333,135.4333333,,{61},False
ER,,ERASA,Assab,13.0,42.73333333,,{51.1},False
DE,,DEWEE,Weener,53.16666667,7.35,,{27.4.c},False
GB,,GBSNK,Sandness,60.3,-1.65,,{27.4.a},False
ES,,ESTRF,Tarifa,36.0108047,-5.60439258,,"{27.9.a,34.1.11,37.1.1}",False
BR,,BRUSA,Unistalda,-29.0333333333333,-55.15,,{41.2.3},False
TR,,TRK7A,Kapakli,41.31666667,27.96666667,,{37.4.1},False
BR,,BRADJ,Santo Antônio Do Jacinto,-16.5333333333333,-40.1666666666667,,{41.1.3},False
US,,USRXU,Mad River,40.45,-123.5,,"{67,77}",False
NO,,NOSJU,Sjursøja/Oslo,59.88333333,10.76666667,,{27.3.a.20},False
BR,,BRANZ,Angicos,-5.65,-36.6,,{41.1.2},False
EE,,EEKLN,Kelnase,59.63722222,25.01277778,,{27.3.d.32},False
DE,,DEWIF,Wischhafen,53.78333333,9.316666667,,{27.4.b},False
NO,,NOAFS,Anfinnsletta,68.33333333,15.43333333,,{27.2.a.2},False
NL,,NLOOS,Oosterhout,51.65,4.883333333,,{27.4.c},False
EE,,EEATO,Alttoa,59.54638889,25.55416667,,{27.3.d.32},False
